make: 'bandwidthTest' is up to date.
./bandwidthTest --device=0 --memory=pinned --mode=range --start=1024 --end=67108864 --increment=524288 --htod --csv
[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: NVIDIA GeForce RTX 3050 Ti Laptop GPU
 Range Mode

Type,Bandwidth(MB/s),Time(sec),Size(bytes),NumDevs
H2D-Pinned,385.3,0.00000,1024,1
H2D-Pinned,5796.5,0.00009,525312,1
H2D-Pinned,5901.3,0.00017,1049600,1
H2D-Pinned,5906.5,0.00025,1573888,1
H2D-Pinned,5788.6,0.00035,2098176,1
H2D-Pinned,5942.5,0.00042,2622464,1
H2D-Pinned,5887.8,0.00051,3146752,1
H2D-Pinned,5917.3,0.00059,3671040,1
H2D-Pinned,5953.1,0.00067,4195328,1
H2D-Pinned,5922.3,0.00076,4719616,1
H2D-Pinned,5916.5,0.00085,5243904,1
H2D-Pinned,5943.6,0.00093,5768192,1
H2D-Pinned,5865.4,0.00102,6292480,1
H2D-Pinned,5958.8,0.00109,6816768,1
H2D-Pinned,5900.7,0.00119,7341056,1
H2D-Pinned,5908.4,0.00127,7865344,1
H2D-Pinned,5908.1,0.00135,8389632,1
H2D-Pinned,5951.5,0.00143,8913920,1
H2D-Pinned,5885.4,0.00153,9438208,1
H2D-Pinned,5951.0,0.00160,9962496,1
H2D-Pinned,5946.5,0.00168,10486784,1
H2D-Pinned,5923.5,0.00177,11011072,1
H2D-Pinned,5924.8,0.00186,11535360,1
H2D-Pinned,5935.8,0.00194,12059648,1
H2D-Pinned,5955.1,0.00202,12583936,1
H2D-Pinned,5940.7,0.00210,13108224,1
H2D-Pinned,5928.9,0.00219,13632512,1
H2D-Pinned,5949.7,0.00227,14156800,1
H2D-Pinned,5956.4,0.00235,14681088,1
H2D-Pinned,5935.5,0.00244,15205376,1
H2D-Pinned,5951.6,0.00252,15729664,1
H2D-Pinned,5980.4,0.00259,16253952,1
H2D-Pinned,5912.6,0.00271,16778240,1
H2D-Pinned,5954.7,0.00277,17302528,1
H2D-Pinned,5958.7,0.00285,17826816,1
H2D-Pinned,5949.9,0.00294,18351104,1
H2D-Pinned,5945.0,0.00303,18875392,1
H2D-Pinned,5931.1,0.00312,19399680,1
H2D-Pinned,5946.2,0.00320,19923968,1
H2D-Pinned,5934.5,0.00329,20448256,1
H2D-Pinned,5958.8,0.00336,20972544,1
H2D-Pinned,5941.6,0.00345,21496832,1
H2D-Pinned,5937.3,0.00354,22021120,1
H2D-Pinned,5954.9,0.00361,22545408,1
H2D-Pinned,5959.6,0.00369,23069696,1
H2D-Pinned,5959.0,0.00378,23593984,1
H2D-Pinned,5961.8,0.00386,24118272,1
H2D-Pinned,5977.8,0.00393,24642560,1
H2D-Pinned,5960.8,0.00403,25166848,1
H2D-Pinned,5961.6,0.00411,25691136,1
H2D-Pinned,5958.2,0.00420,26215424,1
H2D-Pinned,5964.8,0.00428,26739712,1
H2D-Pinned,5964.5,0.00436,27264000,1
H2D-Pinned,5969.2,0.00444,27788288,1
H2D-Pinned,5954.6,0.00453,28312576,1
H2D-Pinned,5969.5,0.00461,28836864,1
H2D-Pinned,5967.3,0.00469,29361152,1
H2D-Pinned,5966.9,0.00478,29885440,1
H2D-Pinned,5969.1,0.00486,30409728,1
H2D-Pinned,5968.3,0.00494,30934016,1
H2D-Pinned,5970.7,0.00502,31458304,1
H2D-Pinned,5963.1,0.00511,31982592,1
H2D-Pinned,5953.2,0.00521,32506880,1
H2D-Pinned,5972.7,0.00527,33031168,1
H2D-Pinned,5967.7,0.00536,33555456,1
H2D-Pinned,5972.2,0.00544,34079744,1
H2D-Pinned,5975.9,0.00552,34604032,1
H2D-Pinned,5978.0,0.00560,35128320,1
H2D-Pinned,5971.1,0.00569,35652608,1
H2D-Pinned,5970.8,0.00578,36176896,1
H2D-Pinned,5978.6,0.00585,36701184,1
H2D-Pinned,5977.2,0.00594,37225472,1
H2D-Pinned,5973.6,0.00603,37749760,1
H2D-Pinned,5982.1,0.00610,38274048,1
H2D-Pinned,5970.7,0.00620,38798336,1
H2D-Pinned,5969.7,0.00628,39322624,1
H2D-Pinned,5978.1,0.00636,39846912,1
H2D-Pinned,5973.8,0.00645,40371200,1
H2D-Pinned,5966.5,0.00654,40895488,1
H2D-Pinned,5965.6,0.00662,41419776,1
