Type,Bandwidth(MB/s),Time(sec),Size(bytes),NumDevs
D2D,813.8,0.00000,1024,1
D2D,97692.0,0.00001,525312,1
D2D,221286.7,0.00000,1049600,1
D2D,129168.3,0.00001,1573888,1
D2D,123362.4,0.00002,2098176,1
D2D,130599.3,0.00002,2622464,1
D2D,134131.2,0.00002,3146752,1
D2D,129981.7,0.00003,3671040,1
D2D,135189.5,0.00003,4195328,1
D2D,135259.7,0.00003,4719616,1
D2D,137708.7,0.00004,5243904,1
D2D,136638.4,0.00004,5768192,1
D2D,137568.1,0.00004,6292480,1
D2D,138507.4,0.00005,6816768,1
D2D,139427.0,0.00005,7341056,1
D2D,138854.8,0.00005,7865344,1
D2D,139397.4,0.00006,8389632,1
D2D,139761.2,0.00006,8913920,1
D2D,141046.6,0.00006,9438208,1
D2D,140058.2,0.00007,9962496,1
D2D,141010.9,0.00007,10486784,1
D2D,142322.8,0.00007,11011072,1
D2D,140655.0,0.00008,11535360,1
D2D,142399.4,0.00008,12059648,1
D2D,140908.2,0.00009,12583936,1
D2D,142273.8,0.00009,13108224,1
D2D,141927.2,0.00009,13632512,1
D2D,143165.7,0.00009,14156800,1
D2D,142155.4,0.00010,14681088,1
D2D,143217.3,0.00010,15205376,1
D2D,142860.1,0.00011,15729664,1
D2D,142687.4,0.00011,16253952,1
D2D,142549.7,0.00011,16778240,1
D2D,143603.8,0.00011,17302528,1
D2D,142721.0,0.00012,17826816,1
D2D,143608.8,0.00012,18351104,1
D2D,143214.8,0.00013,18875392,1
D2D,143672.5,0.00013,19399680,1
D2D,143454.3,0.00013,19923968,1
D2D,143549.5,0.00014,20448256,1
D2D,143252.6,0.00014,20972544,1
D2D,143735.7,0.00014,21496832,1
D2D,141964.4,0.00015,22021120,1
D2D,143631.6,0.00015,22545408,1
D2D,143757.6,0.00015,23069696,1
D2D,144303.5,0.00016,23593984,1
D2D,143865.7,0.00016,24118272,1
D2D,143896.4,0.00016,24642560,1
D2D,144072.9,0.00017,25166848,1
D2D,143899.9,0.00017,25691136,1
D2D,143378.6,0.00017,26215424,1
D2D,144177.7,0.00018,26739712,1
D2D,143718.8,0.00018,27264000,1
D2D,144681.9,0.00018,27788288,1
D2D,144720.4,0.00019,28312576,1
D2D,144806.3,0.00019,28836864,1
D2D,143961.6,0.00019,29361152,1
D2D,144610.8,0.00020,29885440,1
D2D,144540.8,0.00020,30409728,1
D2D,144760.1,0.00020,30934016,1
D2D,143964.0,0.00021,31458304,1
D2D,144648.7,0.00021,31982592,1
D2D,143188.5,0.00022,32506880,1
D2D,144535.1,0.00022,33031168,1
D2D,144190.2,0.00022,33555456,1
D2D,144768.5,0.00022,34079744,1
D2D,144389.8,0.00023,34604032,1
D2D,144790.8,0.00023,35128320,1
D2D,144257.2,0.00024,35652608,1
D2D,145328.5,0.00024,36176896,1
D2D,144612.5,0.00024,36701184,1
D2D,145192.7,0.00024,37225472,1
D2D,144733.0,0.00025,37749760,1
D2D,144847.0,0.00025,38274048,1
D2D,144573.0,0.00026,38798336,1
D2D,144980.3,0.00026,39322624,1
D2D,144855.3,0.00026,39846912,1
D2D,145184.8,0.00027,40371200,1
D2D,144775.7,0.00027,40895488,1
D2D,145367.0,0.00027,41419776,1
D2D,144560.3,0.00028,41944064,1
D2D,144930.2,0.00028,42468352,1
D2D,144663.3,0.00028,42992640,1
D2D,144900.1,0.00029,43516928,1
D2D,144494.6,0.00029,44041216,1
D2D,145022.0,0.00029,44565504,1
D2D,144862.2,0.00030,45089792,1
D2D,145054.6,0.00030,45614080,1
D2D,144315.0,0.00030,46138368,1
D2D,145228.5,0.00031,46662656,1
D2D,143698.5,0.00031,47186944,1
D2D,145271.9,0.00031,47711232,1
D2D,145261.7,0.00032,48235520,1
D2D,145641.3,0.00032,48759808,1
D2D,145517.4,0.00032,49284096,1
D2D,145803.5,0.00033,49808384,1
D2D,144911.3,0.00033,50332672,1
D2D,145710.8,0.00033,50856960,1
D2D,145233.1,0.00034,51381248,1
D2D,145300.6,0.00034,51905536,1
D2D,144412.4,0.00035,52429824,1
D2D,145560.2,0.00035,52954112,1
D2D,144812.0,0.00035,53478400,1
D2D,145284.8,0.00035,54002688,1
D2D,145603.0,0.00036,54526976,1
D2D,145320.7,0.00036,55051264,1
D2D,144729.8,0.00037,55575552,1
D2D,145168.6,0.00037,56099840,1
D2D,144680.2,0.00037,56624128,1
D2D,145649.7,0.00037,57148416,1
D2D,144779.3,0.00038,57672704,1
D2D,145196.7,0.00038,58196992,1
D2D,144787.8,0.00039,58721280,1
D2D,145333.1,0.00039,59245568,1
D2D,144724.2,0.00039,59769856,1
D2D,145348.4,0.00040,60294144,1
D2D,144863.2,0.00040,60818432,1
D2D,145870.7,0.00040,61342720,1
D2D,145110.9,0.00041,61867008,1
D2D,145667.8,0.00041,62391296,1
D2D,145125.4,0.00041,62915584,1
D2D,145572.8,0.00042,63439872,1
D2D,145210.7,0.00042,63964160,1
D2D,145791.4,0.00042,64488448,1
D2D,145397.7,0.00043,65012736,1
D2D,146017.0,0.00043,65537024,1
D2D,145097.7,0.00043,66061312,1
D2D,145774.0,0.00044,66585600,1
